BaciaCodigo;3;BaciaCodigo;3;BaciaCodigo;3;BaciaCodigo;3;BaciaCodigo;3;BaciaCodigo;3;BaciaCodigo;3;BaciaCodigo;3;BaciaCodigo;3;BaciaCodigo;3;BaciaCodigo;3;BaciaCodigo;3;BaciaCodigo;3;BaciaCodigo;3;BaciaCodigo;3;BaciaCodigo;3;BaciaCodigo;3;BaciaCodigo;3;BaciaCodigo;3;BaciaCodigo;3;BaciaCodigo;3;BaciaCodigo;3;BaciaCodigo;3;BaciaCodigo;3;BaciaCodigo;3;
01/02/1969;71.14169999999999;01/03/1998;115.44885714285715;01/02/1969;126.40234285714284;01/03/1970;129.62789999999998;01/03/1974;23.076528571428575;01/03/1974;75.12308571428572;01/03/1974;113.45554285714285;01/02/1977;0.41040000000000004;01/02/1977;2.3268714285714287;01/04/1974;6.487885714285715;01/03/1985;297.96520000000004;01/04/1984;0.0;01/04/1974;0.40269999999999995;01/04/1983;0.0;01/04/1984;11.725471428571428;01/03/1974;297.66864285714286;01/04/1982;285.79004285714285;01/04/1968;1.1791;01/04/1965;1.4654;01/04/1974;7.322742857142856;01/04/1990;16.009542857142858;01/04/1983;289.60175714285714;01/04/1985;0.0;01/04/1974;0.28461428571428576;01/04/1974;7.114657142857142;
01/02/1970;69.82292857142856;01/03/1999;116.57899999999998;01/02/1970;123.69117142857142;01/03/1971;131.04549999999998;01/03/1975;22.872999999999998;01/03/1975;68.83548571428572;01/03/1975;104.75884285714288;01/02/1978;0.16902857142857144;01/02/1978;3.2346;01/04/1975;2.7648571428571427;01/03/1986;402.67072857142864;01/04/1988;0.0;01/04/1975;0.10850000000000001;01/04/1984;0.0;01/04/1985;9.0237;01/03/1975;265.1939;01/04/1983;252.18080000000003;01/04/1969;0.6442714285714286;01/04/1968;0.9415571428571429;01/04/1975;5.0447999999999995;01/04/1991;2.7091999999999996;01/04/1984;298.5479714285715;01/04/1986;0.0;01/04/1975;0.0;01/04/1975;3.2332428571428578;
01/02/1971;70.57592857142856;01/03/2000;118.6155142857143;01/02/1971;126.76395714285714;01/03/1984;144.23659999999998;01/03/1976;21.468099999999996;01/03/1976;69.5026;01/03/1976;98.29060000000001;01/02/1979;0.4497;01/02/1980;4.390285714285715;01/04/1976;2.8496999999999995;01/03/1987;377.38835714285716;01/04/1998;0.0;01/04/1976;0.1956;01/04/1985;0.0;01/04/1986;9.376328571428571;01/03/1976;215.3476714285714;01/04/1984;274.1489142857143;01/04/1971;0.35269999999999996;01/04/1969;0.04458571428571428;01/04/1976;3.028871428571428;01/04/1992;2.1603999999999997;01/04/1985;360.7505285714286;01/04/1993;0.0;01/04/1976;0.0;01/04/1976;0.08248571428571429;
01/02/1972;69.9167;01/03/2001;115.67004285714286;01/02/1972;126.39891428571427;01/03/1985;153.1962;01/03/1977;20.385571428571428;01/03/1977;72.48415714285714;01/03/1977;101.79915714285713;01/02/1980;0.21652857142857143;01/02/1982;2.6561142857142856;01/04/1977;4.3598;01/03/1988;328.73207142857143;01/04/2000;0.0;01/04/1977;0.2738285714285715;01/04/1986;0.0;01/04/1988;0.0;01/03/1977;252.34414285714283;01/04/1985;332.7124142857142;01/04/1973;0.7090714285714286;01/04/1970;0.0;01/04/1977;1.8100857142857143;01/04/1993;1.0204000000000002;01/04/1986;278.9497714285714;01/04/1994;0.0;01/04/1977;0.0;01/04/1977;3.0E-4;
01/02/1973;68.14055714285713;01/03/2002;117.84397142857144;01/02/1973;132.67265714285716;01/03/1986;163.2508857142857;01/03/1978;22.300857142857144;01/03/1978;71.80522857142857;01/03/1978;110.46121428571429;01/02/1981;0.3012000000000001;01/02/1983;1.4687;01/04/1978;4.360414285714286;01/03/1989;330.9366285714286;01/04/2001;0.0;01/04/1978;0.16290000000000002;01/04/1987;0.0;01/04/1989;0.3723571428571429;01/03/1978;244.43742857142857;01/04/1986;367.3033571428572;01/04/1974;2.2694999999999994;01/04/1971;0.24351428571428574;01/04/1978;1.1261999999999999;01/04/1994;1.626628571428571;01/04/1987;289.10632857142855;01/04/1995;0.0;01/04/1978;0.0;01/04/1978;0.0;
01/02/1974;80.32172857142857;01/03/2003;102.2449;01/02/1974;149.01701428571428;01/03/1987;147.62562857142856;01/03/1979;24.376514285714286;01/03/1979;81.02665714285713;01/03/1979;115.31664285714285;01/02/1982;0.1332;01/02/1984;1.4838857142857143;01/04/1981;3.0886285714285715;01/03/1990;327.5533;01/04/2002;0.0;01/04/1979;0.0030857142857142854;01/04/1988;0.0;01/04/1991;0.0;01/03/1979;238.24741428571429;01/04/1987;336.2064142857143;01/04/1975;2.3041000000000005;01/04/1972;0.0;01/04/1979;0.7609000000000001;01/04/1995;2.8587999999999996;01/04/1988;318.1327999999999;01/04/1996;0.0;01/04/1979;0.0;01/04/1979;0.0;
01/02/1975;74.66938571428571;01/03/2004;112.74741428571429;01/02/1975;137.5413142857143;01/03/1988;144.23659999999998;01/03/1980;24.3073;01/03/1980;78.20138571428572;01/03/1980;116.0421857142857;01/02/1983;0.15979999999999997;01/02/1985;3.594285714285714;01/04/1982;2.0138428571428575;01/03/1991;341.3825;01/04/2004;0.0;01/04/1980;0.7142;01/04/1989;0.0;01/04/1992;0.0;01/03/1980;172.81712857142855;01/04/1988;320.9481;01/04/1976;1.4393142857142858;01/04/1973;0.535;01/04/1980;1.2062000000000002;01/04/1996;3.2967000000000004;01/04/1989;270.9779;01/04/1997;0.0;01/04/1980;0.0;01/04/1980;0.0;
01/02/1976;75.2471;01/03/2005;111.67884285714285;01/02/1976;129.68712857142856;01/03/1989;144.44784285714286;01/03/1981;23.928942857142854;01/03/1981;73.35782857142858;01/03/1981;109.39312857142859;01/02/1984;0.10362857142857143;01/02/1986;2.9744999999999995;01/04/1984;1.5020000000000002;01/03/1992;334.7279142857143;01/04/2005;0.0;01/04/1981;0.01802857142857143;01/04/1990;0.0;01/04/1993;0.0;01/03/1981;225.56854285714286;01/04/1989;328.08211428571434;01/04/1987;0.2549428571428572;01/04/1974;1.7786571428571427;01/04/1981;1.1592;01/04/1997;2.046528571428571;01/04/1990;271.96430000000004;01/04/2000;0.0;01/04/1981;0.0;01/04/1981;0.0;
01/02/1977;77.76964285714284;01/03/2006;120.78885714285714;01/02/1977;139.1767;01/03/1990;151.90628571428576;01/03/1982;20.7786;01/03/1982;74.82640000000002;01/03/1982;107.8013;01/02/1991;0.053;01/02/1987;1.333757142857143;01/04/1985;4.138242857142857;01/03/1993;332.3669999999999;01/04/2006;0.0;01/04/1982;0.004557142857142857;01/04/1991;0.0;01/04/1994;0.0;01/03/1982;284.7506428571428;01/04/1990;315.9258571428572;01/04/1988;0.6538285714285713;01/04/1975;0.5694285714285715;01/04/1982;1.0355;01/04/1998;2.6503;01/04/1991;304.1740571428572;01/04/2001;0.0;01/04/1982;0.0;01/04/1982;0.0;
01/02/1978;81.9068857142857;01/03/2007;109.8266;01/02/1978;147.89397142857143;01/03/1991;136.7314857142857;01/03/1983;18.090100000000003;01/03/1983;66.10585714285715;01/03/1983;93.92934285714284;01/02/1992;0.053;01/02/1988;2.9152;01/04/1986;4.1913857142857145;01/03/1994;315.90221428571425;01/04/2007;0.0;01/04/1983;0.007699999999999999;01/04/1992;0.0;01/04/1995;3.658942857142857;01/03/1983;259.0077999999999;01/04/1991;347.9662571428571;01/04/1989;0.7991;01/04/1976;0.2393857142857143;01/04/1983;0.9770000000000001;01/04/1999;0.9437857142857142;01/04/1992;276.3915;01/04/2002;0.0;01/04/1983;0.0;01/04/1983;0.0;
