Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;
1981;238.97373666666667;2010;329.6343366666667;1981;478.36558333333323;1993;357.7375866666668;1986;46.01866333333332;1986;152.69462333333337;1986;453.9133233333334;1994;5.2621133333333345;1991;143.64942000000005;1988;111.13935666666663;1996;1138.044043333333;1986;67.64445666666667;1995;33.82572999999999;2008;234.7182266666667;1986;1127.3377066666665;1994;1705.820293333333;1979;148.10335999999998;1986;491.8346066666666;2002;472.18001;1995;2147.5242633333337;2008;446.0450366666667;1986;603.6839600000001;1986;761.0937666666667;
1982;228.59734333333333;2011;259.0377233333334;1982;437.95405333333343;1994;335.6335266666666;1987;56.57989;1987;153.98677333333336;1987;486.62240666666673;1995;8.693966666666666;1992;26.458483333333334;1989;322.6286466666667;1997;500.81018666666665;1987;98.75406333333335;1998;9.77369666666667;2009;42.44011333333333;1987;1330.6903800000002;1995;1030.3723066666666;1980;155.30373000000006;1987;717.7431033333334;2003;1325.9340033333333;1996;2137.5131099999994;2009;40.00465;1988;761.2479533333334;1987;1100.7096133333332;
1983;152.41357333333335;2012;308.8248866666667;1983;340.64526666666666;1995;307.0975133333333;1988;63.79292333333334;1988;142.94993333333332;1988;412.87533666666667;1996;12.90542;1993;76.23892666666667;1990;52.84424666666666;1998;579.3734266666668;1988;28.82880999999999;1999;21.67672666666667;2010;111.83788666666666;1988;1436.62312;1996;1775.9395966666668;1981;15.978783333333338;1988;1200.1459600000003;2004;342.52989999999994;1997;725.7100966666669;2010;227.65995333333336;1992;107.90709999999999;1988;1182.5594933333334;
1984;218.24103666666664;2013;280.1110999999999;1984;453.47120666666666;1996;520.4041799999999;1989;77.93385000000002;1989;204.95744666666664;1989;497.0239633333335;1997;5.130066666666667;1994;39.263720000000006;1991;242.75534333333331;1999;1057.0581966666668;1991;84.72561000000002;2000;4.1835066666666645;2011;23.232929999999996;1989;1712.8797333333334;1997;670.8966266666666;1982;5.448206666666666;1989;259.9785233333333;2005;568.4053366666666;1998;1340.6038200000003;2011;35.81957333333333;1994;900.8839066666663;1989;332.6356466666667;
1985;308.18719333333337;2014;205.98335000000006;1985;600.1079833333333;1997;265.0226666666667;1990;56.35544999999998;1990;183.54382333333336;1990;385.40800999999993;1998;9.2248;1995;55.320780000000006;1992;30.498670000000004;2000;592.5665633333333;1993;59.139166666666675;2001;55.72540666666666;2012;30.90970666666667;1990;1083.969226666667;1998;916.9497499999999;1984;1152.3952733333333;1990;439.8064266666666;2006;367.0940166666667;1999;1919.7158500000003;2012;68.31803;1995;720.8604300000001;1990;630.6639933333333;
1986;217.76065333333332;2015;349.7073466666668;1986;406.84707333333324;1998;322.8962533333334;1991;85.13410333333334;1991;160.39696333333333;1991;413.25396333333345;1999;11.275440000000001;1996;150.36111000000002;1993;84.20292666666667;2001;1215.5388566666668;1995;48.188293333333334;2003;92.09007333333334;2014;89.05958666666669;1991;1617.5141433333335;1999;1539.95058;1985;598.91098;1991;140.48174666666668;2007;1359.7714333333336;2000;1218.8870299999994;2013;91.76357333333335;1996;372.46346666666653;1991;213.09474333333335;
1987;180.12892;2016;264.53595999999993;1987;377.7716466666667;1999;462.7322666666667;1992;46.336686666666665;1992;116.52217999999999;1992;219.19744999999998;2000;5.872913333333333;1997;31.43185;1994;70.64254666666666;2002;602.6104933333334;1996;164.68411000000003;2004;6.1990733333333345;2016;49.91336000000001;1992;758.7123099999998;2000;789.53315;1986;90.53765000000001;1992;38.26931333333333;2008;1755.2923466666668;2001;1795.4422066666668;2014;26.93028;1998;402.4688333333333;1992;129.2375666666667;
1988;163.8731633333333;2017;306.8296000000001;1988;356.5687599999999;2000;385.5174500000001;1993;50.23305;1993;157.45135333333337;1993;310.62987;2001;9.345783333333335;1998;42.49181666666667;1995;83.13733666666667;2003;1350.4094366666664;1997;14.548753333333334;2006;16.54618;2017;87.45923;1993;913.9772033333335;2001;1614.9665699999998;1987;312.15885666666674;1993;183.66218333333327;2009;189.67427666666666;2002;1644.1913400000003;2016;105.06814666666666;1999;541.8394900000001;1993;524.53183;
1989;296.6024466666667;2018;246.70673666666661;1989;574.11071;2001;619.0302766666666;1994;50.22347;1994;154.5145666666667;1994;336.2984766666667;2002;4.3724033333333345;1999;81.86328333333331;1996;307.1997633333334;2004;1029.1039033333334;1998;61.69533333333334;2010;16.84579;2018;121.57759666666668;1994;1204.44807;2002;865.806876666667;1988;611.5932266666666;1994;725.0028066666669;2010;363.4148733333333;2003;3225.4017333333336;2017;252.33541000000005;2000;548.7796566666665;1994;1341.08008;
1990;187.95716;null;null;1990;415.1279333333334;2002;299.4218933333333;1995;50.97705333333332;1995;135.08503333333334;1995;307.8632;2003;13.025706666666666;2000;36.724493333333335;1997;38.340720000000005;2005;1139.0227733333334;2000;22.762336666666663;2011;1.1108833333333334;null;null;1995;898.4639599999998;2003;3054.2748300000003;1989;25.40026333333333;1995;703.9350866666666;2011;78.1073933333333;2004;1518.5687133333329;2018;273.90751000000006;2001;415.74974666666674;1995;1106.730366666667;
1991;294.38748000000004;null;null;1991;529.8126633333334;2003;503.4106233333332;1996;68.31835000000001;1996;176.04317999999998;1996;504.2356333333334;2004;9.584916666666667;2001;83.72564333333331;1998;74.48543666666666;2006;882.2313333333333;2001;126.61603333333332;2012;4.224823333333332;null;null;1996;1344.4958899999997;2004;1357.0686699999999;1990;123.43852666666665;1996;466.7174933333333;2012;85.38725666666669;2005;2224.257173333333;null;null;2002;375.84877666666665;1996;452.7978966666666;
1992;136.46625999999998;null;null;1992;287.30248333333327;2004;477.2997133333334;1997;43.41887999999999;1997;108.10496333333334;1997;164.08025000000004;2005;8.93464;2002;47.27023999999998;1999;166.93512666666663;2007;1049.2127733333332;2002;44.98787333333333;2013;4.955060000000001;null;null;1997;622.5455633333332;2005;1884.0155733333336;1991;8.726586666666666;1997;63.812656666666676;2013;171.0220533333333;2006;1597.27282;null;null;2003;512.8823333333335;1997;292.20142;
1993;185.2309333333333;null;null;1993;352.8699700000001;2005;399.96463;1998;62.62376333333335;1998;131.28614666666667;1998;253.32260666666662;2006;8.987123333333331;2003;85.25855333333334;2000;39.03557333333333;2008;1154.0531133333332;2003;556.69736;2017;18.79872;null;null;1998;810.4673333333333;2006;1205.7413666666662;1992;5.669143333333333;1998;215.24744000000007;2015;266.12097;2007;3068.6103300000004;null;null;2004;260.71165666666667;1998;646.8090800000001;
1994;159.31049666666667;null;null;1994;325.9475633333334;2006;418.32503333333324;1999;63.68119000000001;1999;176.69361999999998;1999;458.3881933333334;2007;13.322440000000002;2004;54.88170333333333;2001;133.9466366666667;2009;596.0238033333334;2004;10.317173333333333;2018;14.663593333333331;null;null;1999;1412.145373333333;2007;2452.9705266666665;1993;37.63344333333334;1999;417.02543000000003;2017;644.7744333333335;2008;3472.6435466666667;null;null;2005;681.4728833333332;1999;800.86156;
1995;154.46692333333334;null;null;1995;303.15952;2007;417.5684366666667;2000;48.25757666666665;2000;139.36615333333333;2000;341.2237433333333;2013;3.356613333333334;2006;47.43598000000001;2002;59.84592666666666;2010;985.98828;2007;219.52383999999995;null;null;null;null;2000;741.1239966666668;2008;2553.2560233333343;1994;184.60239333333328;2000;129.39802;null;null;2009;920.1639433333332;null;null;2006;286.55571;2000;915.9304233333334;
1996;252.66226666666665;null;null;1996;490.39741333333336;2008;443.82010999999994;2001;73.41117;2001;264.6862733333333;2001;808.4463366666666;null;null;2007;84.25712000000001;2003;174.69613666666663;2011;575.6966499999997;2008;46.5695;null;null;null;null;2001;1488.4092866666663;2009;744.3968966666667;1995;308.7163933333333;2001;215.74953000000002;null;null;2010;1475.4324399999998;null;null;2008;1216.68792;2001;554.3397299999999;
1997;138.8828033333333;null;null;1997;255.96648333333334;2009;273.54486333333335;2002;56.48390333333332;2002;142.84024666666662;2002;383.65463666666653;null;null;2008;52.44183000000002;2004;78.53212666666668;2012;919.5675866666667;2009;14.661400000000002;null;null;null;null;2002;810.57659;2010;1258.0457600000004;1996;131.88724333333334;2002;318.3812033333334;null;null;2011;743.5723199999996;null;null;2010;629.47906;2002;564.7886333333333;
1998;172.61258333333336;null;null;1998;314.68974999999995;2010;398.2494800000001;2003;80.6637733333333;2003;187.65316666666664;2003;792.86106;null;null;2009;20.741670000000003;2005;114.91125333333333;2013;575.1813566666666;2010;28.684476666666665;null;null;null;null;2003;2233.6242666666667;2011;590.9124933333334;1997;12.1249;2003;1122.1560599999998;null;null;2012;1011.7832833333333;null;null;2011;105.42222666666666;2003;740.7971800000001;
1999;209.27599000000004;null;null;1999;422.3458700000001;2011;299.7899833333332;2004;58.54891333333333;2004;204.83635333333328;2004;480.1519866666667;null;null;2011;17.87851666666667;2006;35.2548;2014;450.5519066666667;2011;4.491306666666668;null;null;null;null;2004;1171.4680566666664;2012;1019.6420266666665;1998;41.19409333333333;2004;232.43095333333332;null;null;2013;823.8588333333333;null;null;2012;220.13897;2004;409.49841333333336;
2000;197.10799000000003;null;null;2000;351.56899;2012;396.4914933333333;2005;57.91058999999999;2005;173.80319333333333;2005;568.0016500000002;null;null;2012;27.413186666666668;2007;207.7371266666667;2015;514.3423033333335;2012;7.012143333333332;null;null;null;null;2005;1601.5016599999997;2013;623.5792566666664;1999;145.40684333333334;2005;341.1016333333333;null;null;2014;563.9530533333332;null;null;2013;227.63009;2005;896.5531399999999;
2001;313.18644333333333;null;null;2001;569.7415466666665;2013;356.30440666666675;2006;48.312429999999985;2006;205.04469666666662;2006;501.0125166666667;null;null;2013;33.92026666666667;2008;61.089810000000014;2016;481.46427666666654;2013;9.656396666666666;null;null;null;null;2006;1109.3428766666668;2014;453.7091566666667;2000;42.82833;2006;276.0674266666666;null;null;2015;976.2177266666664;null;null;2014;59.59713666666666;2006;398.5574033333333;
2002;152.96821666666668;null;null;2002;286.7033166666667;2014;248.1995433333333;2007;65.76393000000002;2007;184.63409000000001;2007;581.7795666666666;null;null;null;null;2009;35.38427;2017;899.0569799999998;null;null;null;null;null;null;2007;1750.00133;2015;827.5375499999998;2001;45.22481666666667;2007;1096.5101966666666;null;null;2016;874.7956233333331;null;null;2015;255.89460333333335;2007;1628.6863100000003;
2003;245.00821333333334;null;null;2003;459.8579833333333;2015;413.19044666666673;2008;53.00468333333334;2008;220.98013999999998;2008;651.3341;null;null;null;null;2010;88.81289999999998;2018;600.04526;null;null;null;null;null;null;2008;1769.744113333333;2016;610.1053366666664;2002;162.26166666666666;2008;1659.2008799999999;null;null;2017;1890.7227933333331;null;null;2016;282.1791866666666;2008;2211.96528;
2004;223.62269666666666;null;null;2004;460.3014333333333;2016;312.6156533333333;2009;42.15730999999998;2009;155.85181333333333;2009;331.31208;null;null;null;null;2011;25.09562333333333;2019;840.2273133333332;null;null;null;null;null;null;2009;705.5299666666667;2017;1354.6740566666667;2003;664.18671;2009;142.74285666666668;null;null;2018;1779.8463166666666;null;null;null;null;2009;151.23692666666665;
2005;203.19410999999997;null;null;2005;372.83681;2017;381.84909333333326;2010;60.49812000000001;2010;193.73251999999997;2010;540.5025033333333;null;null;null;null;2013;27.47143333333333;null;null;null;null;null;null;null;null;2010;1195.8011866666668;null;null;2004;103.84172999999997;2010;233.3784766666667;null;null;null;null;null;null;null;null;2010;1019.4945166666668;
2006;225.48967000000002;null;null;2006;391.7467633333333;null;null;2011;39.252889999999994;2011;148.2043666666667;2011;266.90011333333337;null;null;null;null;2014;19.381663333333332;null;null;null;null;null;null;null;null;2011;600.4523900000003;null;null;2005;67.59195666666668;2011;43.45436666666668;null;null;null;null;null;null;null;null;2011;152.31698;
2007;207.31993333333332;null;null;2007;398.8673333333334;null;null;2012;43.560493333333326;2012;146.43493999999998;2012;418.0126900000001;null;null;null;null;2015;43.74857;null;null;null;null;null;null;null;null;2012;1026.020453333333;null;null;2006;144.19896999999995;2012;49.59268333333333;null;null;null;null;null;null;null;null;2012;318.5146666666667;
2008;206.9565733333333;null;null;2008;405.49884000000003;null;null;2013;43.23475333333334;2013;152.73097333333334;2013;291.11278;null;null;null;null;2016;34.63055;null;null;null;null;null;null;null;null;2013;634.4016499999999;null;null;2007;536.0289633333333;2013;64.94084333333336;null;null;null;null;null;null;null;null;2013;248.56491333333335;
2009;137.5889466666667;null;null;2009;263.68067666666667;null;null;2014;37.77723666666666;2014;116.00549666666667;2014;209.55202999999992;null;null;null;null;2017;53.04751000000001;null;null;null;null;null;null;null;null;2014;495.8281966666667;null;null;2008;777.5577533333332;2014;27.378596666666663;null;null;null;null;null;null;null;null;2014;62.834706666666655;
2010;199.94846;null;null;2010;372.97238000000004;null;null;2015;66.18683666666666;2015;167.66712666666663;2015;383.51649333333336;null;null;null;null;2018;42.317009999999996;null;null;null;null;null;null;null;null;2015;724.5851966666665;null;null;2009;26.03848;2015;254.1382733333333;null;null;null;null;null;null;null;null;2015;276.26695333333333;
2011;150.0605166666667;null;null;2011;287.73124333333334;null;null;2016;47.06047333333333;2016;135.74746333333331;2016;322.58416000000005;null;null;null;null;null;null;null;null;null;null;null;null;null;null;2016;528.3188966666665;null;null;2010;104.23006666666667;2016;116.67880000000001;null;null;null;null;null;null;null;null;2016;287.82385333333326;
2012;177.1739233333333;null;null;2012;331.5500466666667;null;null;2017;44.14630333333333;2017;190.43302666666665;2017;530.3396833333333;null;null;null;null;null;null;null;null;null;null;null;null;null;null;2017;1124.0569966666667;null;null;2011;11.766433333333335;2017;496.52491333333353;null;null;null;null;null;null;null;null;2017;857.9025366666667;
2013;160.08964666666668;null;null;2013;285.14994;null;null;2018;53.60929;2018;135.58251;2018;328.93374;null;null;null;null;null;null;null;null;null;null;null;null;null;null;2018;802.4210966666667;null;null;2012;12.678069999999998;2018;698.3518466666667;null;null;null;null;null;null;null;null;2018;1015.5061833333333;
2014;111.86512333333333;null;null;2014;224.2283133333334;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;2013;40.599263333333326;null;null;null;null;null;null;null;null;null;null;null;null;
2015;210.72093333333333;null;null;2015;376.04613333333333;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;2014;6.318176666666667;null;null;null;null;null;null;null;null;null;null;null;null;
2016;161.95935999999995;null;null;2016;287.1762066666667;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;2017;126.00642333333333;null;null;null;null;null;null;null;null;null;null;null;null;
2017;183.2152366666667;null;null;2017;345.65761000000003;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;2018;152.10362;null;null;null;null;null;null;null;null;null;null;null;null;
2018;141.28761666666668;null;null;2018;271.33214999999996;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
