Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;
1980;170.9838538251366;2009;197.76069424657544;1980;310.0284622950812;1993;194.95489698630138;1985;41.04763041095889;1985;139.5811065753426;1985;334.9462983561647;1994;1.9652745205479443;1991;15.209555068493135;1988;29.813279178082183;1996;462.05303808219134;2009;0.6503624657534244;1985;65.35866904109587;1994;3.0918701369863006;1998;20.087468493150688;1985;957.0612761643845;1993;538.0592131506853;1996;3.183220000000001;1978;9.930762191780815;1985;433.87616109589084;2001;68.90829890410959;1994;654.0547641095886;2004;7.634091232876713;1985;297.9435120547946;1985;460.46473342465725;
1981;136.28518493150688;2010;168.11813890410946;1981;266.2773531506851;1994;212.1407980821919;1986;33.537958356164374;1986;114.19445315068488;1986;220.49625205479452;1995;2.6547465753424633;1992;23.828695901639346;1989;73.03918739726029;1997;512.7215583561642;2011;0.5671816939890703;1986;17.126390958904118;1995;4.919766393442621;2001;25.576455890410934;1986;641.3478476712328;1994;599.1672421917809;2004;5.562200547945202;1979;16.30077595628415;1986;113.30726000000001;2002;82.47921397260285;1995;853.5403210382518;2005;11.542113150684933;1986;134.8214060273972;1986;213.1214739726025;
1982;117.61894136986324;2011;180.72575683060109;1982;233.89047013698612;1995;216.44161420765036;1987;31.71753442622954;1987;94.52606202185788;1987;182.5159849726774;1996;2.295176775956282;1993;10.55775671232877;1990;20.663734520547937;1998;361.8479895890409;2012;0.4012438356164383;1987;16.630989344262296;1998;1.6578630136986294;2003;84.0267868852459;1987;557.0244691256831;1995;644.8600923497273;2009;6.55248767123288;1980;4.082757808219176;1987;51.17731748633876;2003;171.652719125683;1996;714.7525383561641;2006;49.47738438356163;1988;102.00469945205477;1987;92.54225983606555;
1983;109.76836684931519;2012;175.09618849315052;1983;219.35826054794526;1996;212.6658156164385;1988;37.81841068493149;1988;92.23041835616434;1988;192.96810876712314;1997;2.9378117808219124;1994;19.130190410958914;1991;41.762881147541;1999;476.73959508196714;2013;0.3151287671232877;1988;11.756844383561642;1999;4.3995226775956295;2008;45.93381863013703;1988;595.4818098630136;1996;602.3531208219179;2015;0.26483387978142064;1981;11.238910958904105;1988;133.08129863013704;2004;48.41724027397258;1997;646.4303742465751;2008;41.02616219178083;1989;141.33844136986295;1988;157.76765890410948;
1984;107.19078688524593;2013;172.7907517808218;1984;219.23753333333357;1997;235.68526027397272;1989;43.98427643835619;1989;107.03848931506847;1989;226.20673123287648;1998;1.7265701369863014;1995;16.768155616438353;1992;15.669228493150667;2000;492.0233843835615;2014;1.8426230136986352;1989;16.934821095890406;2000;1.699318630136987;2009;30.255614246575327;1989;764.9582216438364;1997;583.8014093150686;2016;0.3176002739726028;1982;1.5621024657534257;1989;188.83213863013708;2005;37.809474520547965;1998;444.7274956164384;2009;59.09756191780824;1992;16.195290136986305;1989;217.38814575342474;
1985;133.8067698630137;2014;159.37506191780818;1985;289.23970109589067;1998;196.17340246575333;1990;36.979943561643836;1990;96.16871835616449;1990;179.34886328767104;1999;2.3388961643835606;1996;20.788843169398906;1993;16.140587671232872;2001;498.43963835616404;2016;0.423948219178083;1991;8.881975136612024;2001;4.845083013698629;2010;18.297027671232865;1990;517.7915213698628;1998;438.6479189041095;2017;1.0401594520547939;1984;100.94228520547946;1990;42.48455917808218;2006;114.56982109589049;1999;712.4989510928962;2010;15.253138082191784;1994;84.356331780822;1990;73.82762712328763;
1986;114.74236027397264;2015;154.3631786885245;1986;244.21814273972618;1999;226.61947732240426;1991;39.3607887978142;1991;97.13102677595641;1991;176.46711721311453;2000;1.9967054644808742;1997;36.098001643835616;1994;22.480881095890407;2002;408.81455479452023;2017;0.37300301369863026;1993;5.964592328767124;2003;10.267564480874318;2011;8.88061038251365;1991;578.7687710382514;1999;604.0759273224054;2018;2.5013589041095896;1985;171.90085561643824;1991;27.67588387978139;2007;66.45790109289628;2000;673.5926150684928;2011;26.934823497267764;1995;174.3689196721311;1991;67.74595928961746;
1987;113.97566109589047;2016;134.64134301369853;1987;236.57727369863008;2000;221.92678191780806;1992;33.55829178082195;1992;79.57181863013697;1992;131.7009841095889;2001;1.5932712328767114;1998;9.679051232876722;1995;31.205771311475388;2003;469.29374153005426;2018;0.40513315068493233;1995;17.133461748633888;2004;1.7818846575342477;2012;5.843222191780822;1992;418.02936438356187;2000;515.8170673972608;2019;8.365543442622956;1986;44.948206849315056;1992;16.769918904109574;2008;151.6520558904112;2001;687.5347663013697;2012;5.558883561643834;1996;88.38014054794515;1992;19.331086027397255;
1988;104.05930519125691;2017;146.0960183561643;1988;228.18163142076514;2001;244.15524219178064;1993;31.808729041095884;1993;81.07248794520551;1993;132.24256986301356;2002;1.413140821917809;1999;18.85252986301368;1996;32.077152328767085;2004;442.3907421917803;2019;2.103490163934425;1996;14.864505479452058;2005;1.50977616438356;2014;14.237215616438341;1993;412.87319260273983;2001;575.1611350684939;null;null;1987;18.595141256830605;1993;30.557031232876756;2009;220.02503698630105;2002;608.1502695890407;2013;12.73585260273972;1998;39.70425068493151;1993;61.66233479452052;
1989;122.52130027397266;2018;163.56558328767107;1989;261.75784191780855;2002;194.18183095890447;1994;34.56831698630133;1994;95.43959917808223;1994;168.3610389041094;2003;1.7091991780821911;2000;23.78415191256831;1997;53.79194219178084;2005;446.54608630136937;null;null;1997;13.118355342465762;2010;3.076113972602739;2016;7.555582739726023;1994;513.1304906849314;2002;466.15401863013744;null;null;1988;38.3387504109589;1994;43.7542989041096;2010;60.40289534246582;2003;901.8580912568319;2014;13.120744931506852;1999;74.09644617486339;1994;113.7926457534246;
